레벨,소모 RP,누적 RP
1,100000000000,100000000000
2,200000000000,300000000000
3,300000000000,600000000000
4,400000000000,1000000000000
5,500000000000,1500000000000
6,600000000000,2100000000000
7,700000000000,2800000000000
8,800000000000,3600000000000
9,900000000000,4500000000000
10,1000000000000,5500000000000
11,1100000000000,6600000000000
12,1200000000000,7800000000000
13,1300000000000,9100000000000
14,1400000000000,10500000000000
15,1500000000000,12000000000000
16,1600000000000,13600000000000
17,1700000000000,15300000000000
18,1800000000000,17100000000000
19,1900000000000,19000000000000
20,2000000000000,21000000000000
