레벨,소모 RP,누적 RP
1,2,2
2,16,18
3,48,66
4,60,126
5,80,206
6,105,311
7,135,446
8,170,616
9,210,826
10,255,1081
11,305,1386
12,360,1746
13,420,2166
14,485,2651
15,555,3206
16,630,3836
17,710,4546
18,795,5341
19,885,6226
20,980,7206
21,1080,8286
22,1180,9466
23,1280,10746
24,1380,12126
25,1480,13606
26,1580,15186
27,1680,16866
28,1780,18646
29,1880,20526
30,1980,22506
31,2080,24586
32,2180,26766
33,2280,29046
34,2380,31426
35,2480,33906
36,2580,36486
37,2680,39166
38,2780,41946
39,2880,44826
40,2980,47806
