레벨,소모 RP,누적 RP
1,10000000000,10000000000
2,20000000000,30000000000
3,30000000000,60000000000
4,40000000000,100000000000
5,50000000000,150000000000
6,60000000000,210000000000
7,70000000000,280000000000
8,80000000000,360000000000
9,90000000000,450000000000
10,100000000000,550000000000
11,110000000000,660000000000
12,120000000000,780000000000
13,130000000000,910000000000
14,140000000000,1050000000000
15,150000000000,1200000000000
16,160000000000,1360000000000
17,170000000000,1530000000000
18,180000000000,1710000000000
19,190000000000,1900000000000
20,200000000000,2100000000000
21,210000000000,2310000000000
22,220000000000,2530000000000
23,230000000000,2760000000000
24,240000000000,3000000000000
25,250000000000,3250000000000
26,260000000000,3510000000000
27,270000000000,3780000000000
28,280000000000,4060000000000
29,290000000000,4350000000000
30,300000000000,4650000000000
