레벨,소모 RP,누적 RP
1,10000000,10000000
2,20000000,30000000
3,30000000,60000000
4,40000000,100000000
5,50000000,150000000
6,60000000,210000000
7,70000000,280000000
8,80000000,360000000
9,90000000,450000000
10,100000000,550000000
11,110000000,660000000
12,120000000,780000000
13,130000000,910000000
14,140000000,1050000000
15,150000000,1200000000
16,160000000,1360000000
17,170000000,1530000000
18,180000000,1710000000
19,190000000,1900000000
20,200000000,2100000000
21,210000000,2310000000
22,220000000,2530000000
23,230000000,2760000000
24,240000000,3000000000
25,250000000,3250000000
26,260000000,3510000000
27,270000000,3780000000
28,280000000,4060000000
29,290000000,4350000000
30,300000000,4650000000
31,400000000,5050000000
32,500000000,5550000000
33,600000000,6150000000
34,700000000,6850000000
35,800000000,7650000000
36,4000000000,11650000000
37,5000000000,16650000000
38,6000000000,22650000000
39,7000000000,29650000000
40,8000000000,37650000000
41,10000000000,47650000000
42,20000000000,67650000000
43,30000000000,97650000000
44,40000000000,137650000000
45,50000000000,187650000000
46,100000000000,287650000000
47,200000000000,487650000000
48,300000000000,787650000000
49,400000000000,1187650000000
50,500000000000,1687650000000
51,1000000000000,2687650000000
52,2000000000000,4687650000000
53,3000000000000,7687650000000
54,4000000000000,11687650000000
55,5000000000000,16687650000000
