레벨,레벨업 필요 경험치,누적 경험치,환포,,,,,,,,,,,,,,
1,15 ,0,0,,현재 레벨,목표 레벨,1분당 경험치,모래시계 배율,필요 총 경험치,,,,,,,,
2,34 ,15 ,0,,491,500,"12,422,334,960,000",1.000 ,"28,609,500,000,000,000","12,422,334,960,000",,실경험치 배율 계산기 (A),,,,,
3,57 ,49 ,0,,필요 분,필요 시간(시간),필요 시간(일),현재 시간,목표 시간,"48,333,672,000,000",,100,100,<손대지마시오,,,
4,92 ,106 ,0,,"2,188.03 ",36.47 ,1.52 ,4/17/26 4:59,4/18/26 17:27,,,도감,14,<자기수치,,,
5,135 ,198 ,0,,,,,,,,,홀심,70,<자기수치,,,
6,372 ,333 ,0,태륜,앞경험치 ,A 수치입력,실경험치,7마리 경험치,걸리는시간 N초(젠포함),1분당 경험치,,합,184,,,,
7,560 ,705 ,0,,"42,000,000,000 ",5.520 ,"231,840,000,000 ","2,782,080,000,000 ",3 ,"55,641,600,000,000 ",,계산식,5.52,< A 수치에 입력,,,
8,840 ,"1,265 ",0,,,,,,,,,,,,,,
9,"1,242 ","2,105 ",0,태륜,앞경험치 ,A 수치입력,실경험치,8마리 경험치,걸리는시간 3초(젠포함),1분당 경험치,,각종 배율표,,,,,
10,"1,716 ","3,347 ",0,,"9,000,000,000 ",5.520 ,"49,680,000,000 ","397,440,000,000 ",3 ,"7,948,800,000,000 ",,모래시계 ,배율,도감,,홀심LV,
11,"2,360 ","5,063 ",0,,,,,,,,,1LV,1.10 ,1000,10,30,50
12,"3,216 ","7,423 ",0,슈퍼천록,앞경험치 ,A 수치입력,실경험치,6마리 경험치,걸리는시간 3초(젠포함),1분당 경험치,,2LV,1.20 ,1100,12,35,55
13,"4,200 ","10,639 ",0,,"7,500,000,000",5.520 ,"41,400,000,000 ","248,400,000,000 ",3 ,"4,968,000,000,000 ",,3LV,1.30 ,1200,14,40,60
14,"5,460 ","14,839 ",0,,,,,,,,,4LV,1.40 ,1300,16,45,65
15,"7,050 ","20,299 ",0,슈퍼천록 7마리,앞경험치 ,A 수치입력,실경험치,7마리 경험치,걸리는시간 3초(젠포함),1분당 경험치,,5LV,1.50 ,1400,18,50,70
16,"8,840 ","27,349 ",0,대만자리,"7,500,000,000",5.520 ,"41,400,000,000 ","289,800,000,000 ",3 ,"5,796,000,000,000 ",,6LV,1.60 ,,,,
17,"11,040 ","36,189 ",0,,,,,,,,,7LV,1.70 ,,,,
18,"13,716 ","47,229 ",0,,구분,천록 6마리,천록 7마리 (대만),태륜 7마리,태륜 8마리,<이곳만 수정해서 사용하면됨,,8LV,1.80 ,,,,
19,"16,680 ","60,945 ",0,,필드,"4,968,000,000,000 ","5,796,000,000,000 ","6,955,200,000,000 ","7,948,800,000,000 ",<이곳만 수정해서 사용하면됨,,9LV,1.90 ,,,,
20,"20,216 ","77,625 ",0,,필드+경험치 2배 ,"9,936,000,000,000 ","11,592,000,000,000 ","13,910,400,000,000 ","15,897,600,000,000 ",<손대지마시오,,10LV,2.00 ,,,,
21,"24,402 ","97,841 ",0,,필드+경쿠,"6,458,400,000,000 ","7,534,800,000,000 ","9,041,760,000,000 ","10,333,440,000,000 ",<손대지마시오,,11LV,2.10 ,,,,
22,"28,980 ","122,243 ",0,,필드+경쿠+경험치2배,"12,916,800,000,000 ","15,069,600,000,000 ","18,083,520,000,000 ","20,666,880,000,000 ",<손대지마시오,,12LV,2.20 ,,,,
23,"34,320 ","151,223 ",0,,필드+vip,"5,216,400,000,000 ","6,085,800,000,000 ","7,302,960,000,000 ","8,346,240,000,000 ",<손대지마시오,,13LV,2.30 ,,,,
24,"40,512 ","185,543 ",0,,필드+vip+경험치2배,"10,432,800,000,000 ","12,171,600,000,000 ","14,605,920,000,000 ","16,692,480,000,000 ",<손대지마시오,,14LV,2.40 ,,,,
25,"47,216 ","226,055 ",0,,슈인던,"5,713,200,000,000 ","6,665,400,000,000 ","7,998,480,000,000 ","9,141,120,000,000 ",<손대지마시오,,15LV,2.50 ,,,,
26,"54,900 ","273,271 ",0,,슈인던+경험치2배,"11,426,400,000,000 ","13,330,800,000,000 ","15,996,960,000,000 ","18,282,240,000,000 ",<손대지마시오,,16LV,2.60 ,,,,
27,"63,666 ","328,171 ",0,,vip+슈인던,"5,998,860,000,000 ","6,998,670,000,000 ","8,398,404,000,000 ","9,598,176,000,000 ",<손대지마시오,,17LV,2.70 ,,,,
28,"73,080 ","391,837 ",0,,vip+슈인던+경험치2배,"11,997,720,000,000 ","13,997,340,000,000 ","16,796,808,000,000 ","19,196,352,000,000 ",<손대지마시오,,18LV,2.80 ,,,,
29,"83,720 ","464,917 ",0,,vip+경쿠,"6,781,320,000,000 ","7,911,540,000,000 ","9,493,848,000,000 ","10,850,112,000,000 ",<손대지마시오,,19LV,2.90 ,,,,
30,"95,700 ","548,637 ",2,,vip+경쿠+경험치2배,"16,953,300,000,000 ","19,778,850,000,000 ","23,734,620,000,000 ","27,125,280,000,000 ",<손대지마시오,,20LV,3.00 ,,,,
31,"108,480 ","644,337 ",3,,vip+슈인던+경쿠,"7,798,518,000,000 ","9,098,271,000,000 ","10,917,925,200,000 ","12,477,628,800,000 ",<손대지마시오,,,,,,,
