name,file
"[표1] 부스트 소모값",부스트_소모값.csv
"[표2] 경험치 RP (1~200)",경험치_RP_(1~200).csv
"[표3] 강화 확률 증가",강화_확률_증가.csv
"[표4] SP 증가량",SP_증가량.csv
"[표5] 장비 제한 레벨 감소",장비_제한_레벨_감소.csv
"[표6] 샤프 소모값",샤프_소모값.csv
"[표7] 버서크 소모값",버서크_소모값.csv
"[표8] 쉐도우 파트너 RP 소모값",쉐도우_파트너_RP_소모값.csv
"[표9] 환포증가",환포증가.csv
"[표10] 비홀더버프",비홀더버프.csv
"[표11] 타겟",타겟.csv
"[표12] 강횟",강횟.csv
"[표13]매용",매용.csv
"[표14] 원거리마스터리",원거리마스터리.csv
"[표15]어드벤스드 콤보어택",어드벤스드_콤보어택.csv
"[표16]파이널 어택",파이널_어택.csv
"너클마스터리[표17]",너클마스터리.csv
"크리티컬 리인포스[표18]",크리티컬_리인포스.csv
"오브마스터리[표19]",오브마스터리.csv
"아드레날린[표20]",아드레날린.csv
"[표21]",.csv
"[표22]",.csv
"[표23]",.csv
"[표25]",.csv
"[표26]",.csv
"[표27]",.csv
"[표28]",.csv
"[표29]",.csv
"[표30]",.csv
"[표31]",.csv
"[표32]",.csv
"[표33]",.csv
"[표34]",.csv
"[표35]",.csv
